date,publisher,candidate,sentiment
2020-03-17,Buzzfeed,sanders,0.10833333333333335
2020-03-17,Buzzfeed,trump,0.225
2020-03-17,Fox,,0.05
2020-03-17,Fox,biden,0.13397917857823521
2020-03-17,Fox,bloomberg,0.04028003246753246
2020-03-17,Fox,gabbard,0.0
2020-03-17,Fox,klobuchar,0.0
2020-03-17,Fox,sanders,0.10973400605462748
2020-03-17,Fox,trump,0.11101412852609022
2020-03-17,Fox,warren,0.0
2020-03-17,Fox,yang,0.03333333333333333
2020-03-17,NBC,biden,0.16865740740740737
2020-03-17,NBC,gabbard,0.0
2020-03-17,NBC,sanders,0.12589181286549705
2020-03-17,NBC,trump,-0.0032629516453045863
2020-03-17,NewYorkTimes,biden,0.04915908029878619
2020-03-17,NewYorkTimes,gabbard,0.0
2020-03-17,NewYorkTimes,sanders,0.01321022727272726
2020-03-17,NewYorkTimes,trump,0.09040176293964171
2020-03-17,NewYorkTimes,yang,0.18833333333333332
2020-03-17,Politico,,0.08333333333333331
2020-03-17,Politico,biden,0.12988389182833615
2020-03-17,Politico,buttigieg,0.0
2020-03-17,Politico,klobuchar,-0.13333333333333333
2020-03-17,Politico,sanders,0.11439360340095626
2020-03-17,Politico,trump,0.1200960617347169
2020-03-17,Politico,warren,0.1761111111111111
2020-03-17,WashingtonTimes,biden,0.03961038961038965
2020-03-17,WashingtonTimes,bloomberg,-0.0625
2020-03-17,WashingtonTimes,sanders,0.09404761904761905
2020-03-17,WashingtonTimes,trump,0.027359949721060883
2020-03-17,WashingtonTimes,yang,0.03352272727272727
2020-03-18,AP,,0.05000000000000001
2020-03-18,AP,biden,0.1741533317872603
2020-03-18,AP,sanders,0.1074840106982965
2020-03-18,AP,trump,0.049118718390563136
2020-03-18,AP,yang,-0.041666666666666664
2020-03-18,Breitbart,,0.02
2020-03-18,Breitbart,biden,0.10025226757369617
2020-03-18,Breitbart,bloomberg,0.0
2020-03-18,Breitbart,sanders,0.11802992724867725
2020-03-18,Breitbart,steyer,0.03333333333333333
2020-03-18,Breitbart,trump,0.09740758132620551
2020-03-18,Breitbart,warren,0.039629629629629626
2020-03-18,Breitbart,yang,0.0
2020-03-18,Buzzfeed,sanders,0.0
2020-03-18,Buzzfeed,trump,0.01509313164485579
2020-03-18,Fox,,-0.008928571428571426
2020-03-18,Fox,biden,-0.004034914361001317
2020-03-18,Fox,gabbard,0.0
2020-03-18,Fox,sanders,0.10538382850026681
2020-03-18,Fox,trump,0.024725655278472137
2020-03-18,Fox,yang,0.06944444444444445
2020-03-18,NBC,,0.0
2020-03-18,NBC,biden,0.14002356150793657
2020-03-18,NBC,bloomberg,0.25
2020-03-18,NBC,buttigieg,0.0
2020-03-18,NBC,gabbard,-0.041666666666666664
2020-03-18,NBC,sanders,0.14520909090909084
2020-03-18,NBC,trump,0.07798969072164948
2020-03-18,NBC,warren,0.08333333333333333
2020-03-18,NBC,yang,-0.125
2020-03-18,NewYorkTimes,,0.1
2020-03-18,NewYorkTimes,biden,0.16195473251028802
2020-03-18,NewYorkTimes,sanders,0.10448634698634693
2020-03-18,NewYorkTimes,trump,0.11012692716640085
2020-03-18,NewYorkTimes,warren,0.09999999999999999
2020-03-18,Politico,,0.0
2020-03-18,Politico,biden,0.0
2020-03-18,Politico,sanders,0.0837420386127282
2020-03-18,Politico,trump,0.06656058236537679
2020-03-18,Politico,warren,0.047727272727272715
2020-03-18,Politico,yang,0.09999999999999999
2020-03-18,WashingtonTimes,,0.25
2020-03-18,WashingtonTimes,biden,0.10188943001443003
2020-03-18,WashingtonTimes,sanders,0.0172153635116598
2020-03-18,WashingtonTimes,trump,0.05630700189727968
2020-03-18,WashingtonTimes,warren,0.0
2020-03-19,AP,biden,0.13050595238095233
2020-03-19,AP,gabbard,0.1069651875901875
2020-03-19,AP,sanders,0.3302083333333334
2020-03-19,AP,trump,0.031357702181456976
2020-03-19,Breitbart,biden,0.012450133778258779
2020-03-19,Breitbart,bloomberg,0.04545454545454545
2020-03-19,Breitbart,gabbard,0.095
2020-03-19,Breitbart,klobuchar,0.18888888888888888
2020-03-19,Breitbart,sanders,0.3
2020-03-19,Breitbart,trump,0.08025835900835901
2020-03-19,Buzzfeed,biden,0.11666666666666668
2020-03-19,Buzzfeed,gabbard,0.06944444444444448
2020-03-19,Buzzfeed,sanders,0.0785714285714286
2020-03-19,Buzzfeed,trump,-0.16874999999999993
2020-03-19,Fox,biden,0.0552952380952381
2020-03-19,Fox,bloomberg,0.1590909090909091
2020-03-19,Fox,buttigieg,0.06999999999999999
2020-03-19,Fox,gabbard,0.03207070707070708
2020-03-19,Fox,sanders,0.05746969696969695
2020-03-19,Fox,trump,0.02168221365641998
2020-03-19,Fox,warren,0.004894179894179891
2020-03-19,Fox,yang,0.11666666666666668
2020-03-19,NBC,biden,0.25
2020-03-19,NBC,gabbard,0.03304924242424243
2020-03-19,NBC,sanders,0.1792857142857143
2020-03-19,NBC,trump,0.041373692973693
2020-03-19,NewYorkTimes,,0.75
2020-03-19,NewYorkTimes,biden,0.10277777777777772
2020-03-19,NewYorkTimes,klobuchar,0.06212121212121214
2020-03-19,NewYorkTimes,sanders,0.12499999999999999
2020-03-19,NewYorkTimes,trump,0.012087924701561054
2020-03-19,NewYorkTimes,warren,0.03333333333333333
2020-03-19,Politico,,0.0
2020-03-19,Politico,biden,0.06363981762917932
2020-03-19,Politico,bloomberg,-0.006597222222222221
2020-03-19,Politico,gabbard,0.17031249999999995
2020-03-19,Politico,klobuchar,-0.061125541125541125
2020-03-19,Politico,sanders,0.0
2020-03-19,Politico,trump,0.051536659363363886
2020-03-19,WashingtonTimes,biden,0.01557539682539682
2020-03-19,WashingtonTimes,bloomberg,0.23333333333333334
2020-03-19,WashingtonTimes,gabbard,0.11136363636363639
2020-03-19,WashingtonTimes,klobuchar,0.0
2020-03-19,WashingtonTimes,sanders,0.14872911139040162
2020-03-19,WashingtonTimes,trump,0.046183990922979506
2020-03-19,WashingtonTimes,warren,0.25
2020-03-20,AP,biden,0.1095619705313583
2020-03-20,AP,bloomberg,0.1208074534161492
2020-03-20,AP,sanders,0.11999999999999998
2020-03-20,AP,trump,0.05352540020083883
2020-03-20,Breitbart,biden,0.019187866606697777
2020-03-20,Breitbart,bloomberg,0.08201101928374656
2020-03-20,Breitbart,sanders,0.0
2020-03-20,Breitbart,trump,0.05226611650741006
2020-03-20,Breitbart,yang,0.037130230880230874
2020-03-20,Buzzfeed,biden,0.5250000000000001
