date,publisher,candidate,count
2020-04-05,WashingtonTimes,Sanders,3
2020-04-06,AP,Sanders,7
2020-04-06,Breitbart,Sanders,1
2020-04-06,Buzzfeed,Sanders,0
2020-04-06,Fox,Sanders,47
2020-04-06,NBC,Sanders,15
2020-04-06,NewYorkTimes,Sanders,102
2020-04-06,Politico,Sanders,26
2020-04-06,WashingtonTimes,Sanders,0
2020-04-07,AP,Sanders,24
2020-04-07,Breitbart,Sanders,2
2020-04-07,Fox,Sanders,64
2020-04-07,NBC,Sanders,39
2020-04-07,NewYorkTimes,Sanders,8
2020-04-07,Politico,Sanders,10
2020-04-07,WashingtonTimes,Sanders,78
2020-04-08,AP,Sanders,108
2020-04-08,Breitbart,Sanders,127
2020-04-08,Buzzfeed,Sanders,255
2020-04-08,Fox,Sanders,382
2020-04-08,NBC,Sanders,522
2020-04-08,NewYorkTimes,Sanders,130
2020-04-08,Politico,Sanders,288
2020-04-08,WashingtonTimes,Sanders,141
2020-04-09,AP,Sanders,42
2020-04-09,Breitbart,Sanders,39
2020-04-09,Buzzfeed,Sanders,99
2020-04-09,Fox,Sanders,298
2020-04-09,NBC,Sanders,327
2020-04-09,NewYorkTimes,Sanders,140
2020-04-09,Politico,Sanders,182
2020-04-09,WashingtonTimes,Sanders,84
2020-04-10,AP,Sanders,3
2020-04-10,Breitbart,Sanders,1
2020-04-10,Fox,Sanders,63
2020-04-10,NBC,Sanders,45
2020-04-10,NewYorkTimes,Sanders,0
2020-04-10,Politico,Sanders,120
2020-04-10,WashingtonTimes,Sanders,0
2020-04-11,AP,Sanders,0
2020-04-11,Breitbart,Sanders,4
2020-04-11,Buzzfeed,Sanders,0
2020-04-11,Fox,Sanders,6
2020-04-11,NBC,Sanders,0
2020-04-11,NewYorkTimes,Sanders,0
2020-04-11,Politico,Sanders,2
2020-04-11,WashingtonTimes,Sanders,0
2020-04-12,AP,Sanders,9
2020-04-12,Breitbart,Sanders,1
2020-04-12,Fox,Sanders,48
2020-04-12,NBC,Sanders,45
2020-04-12,NewYorkTimes,Sanders,24
2020-04-12,Politico,Sanders,4
2020-04-12,WashingtonTimes,Sanders,18
2020-04-13,AP,Sanders,77
2020-04-13,Breitbart,Sanders,43
2020-04-13,Buzzfeed,Sanders,48
2020-04-13,Fox,Sanders,184
2020-04-13,NBC,Sanders,138
2020-04-13,NewYorkTimes,Sanders,136
2020-04-13,Politico,Sanders,150
2020-04-13,WashingtonTimes,Sanders,45
2020-04-14,AP,Sanders,56
2020-04-14,Breitbart,Sanders,11
2020-04-14,Buzzfeed,Sanders,27
2020-04-14,Fox,Sanders,44
2020-04-14,NBC,Sanders,108
2020-04-14,NewYorkTimes,Sanders,108
2020-04-14,Politico,Sanders,18
2020-04-14,WashingtonTimes,Sanders,3
2020-04-15,AP,Sanders,35
2020-04-15,Breitbart,Sanders,19
2020-04-15,Buzzfeed,Sanders,0
2020-04-15,Fox,Sanders,102
2020-04-15,NBC,Sanders,126
2020-04-15,NewYorkTimes,Sanders,36
2020-04-15,Politico,Sanders,274
2020-04-15,WashingtonTimes,Sanders,15
2020-04-16,AP,Sanders,0
2020-04-16,Breitbart,Sanders,5
2020-04-16,Buzzfeed,Sanders,0
2020-04-16,Fox,Sanders,40
2020-04-16,NBC,Sanders,15
2020-04-16,Politico,Sanders,76
2020-04-16,WashingtonTimes,Sanders,9
2020-04-17,AP,Sanders,0
2020-04-17,Breitbart,Sanders,6
2020-04-17,Buzzfeed,Sanders,0
2020-04-17,Fox,Sanders,23
2020-04-17,NBC,Sanders,3
2020-04-17,Politico,Sanders,2
2020-04-17,WashingtonTimes,Sanders,0
2020-04-18,Breitbart,Sanders,8
2020-04-18,Fox,Sanders,2
2020-04-18,NBC,Sanders,0
2020-04-18,Politico,Sanders,0
2020-04-18,WashingtonTimes,Sanders,0
2020-04-19,Breitbart,Sanders,0
2020-04-19,Fox,Sanders,0
2020-03-01,NewYorkTimes,Biden,0
2020-03-02,Buzzfeed,Biden,220
2020-03-02,NewYorkTimes,Biden,0
2020-03-03,Buzzfeed,Biden,580
2020-03-04,Buzzfeed,Biden,590
2020-03-04,Fox,Biden,273
2020-03-05,Buzzfeed,Biden,180
2020-03-05,Fox,Biden,49
2020-03-06,AP,Biden,186
2020-03-06,Breitbart,Biden,56
2020-03-06,Buzzfeed,Biden,0
2020-03-06,Fox,Biden,21
2020-03-06,NewYorkTimes,Biden,217
2020-03-07,AP,Biden,456
2020-03-07,Breitbart,Biden,96
2020-03-07,Buzzfeed,Biden,210
2020-03-07,Fox,Biden,77
2020-03-07,NBC,Biden,423
2020-03-07,NewYorkTimes,Biden,21
2020-03-08,AP,Biden,258
2020-03-08,Breitbart,Biden,50
2020-03-08,Fox,Biden,504
2020-03-08,NBC,Biden,162
2020-03-08,NewYorkTimes,Biden,567
2020-03-09,AP,Biden,540
2020-03-09,Breitbart,Biden,88
2020-03-09,Buzzfeed,Biden,510
2020-03-09,Fox,Biden,819
2020-03-09,NBC,Biden,522
2020-03-09,NewYorkTimes,Biden,301
2020-03-10,AP,Biden,930
2020-03-10,Buzzfeed,Biden,610
2020-03-10,Fox,Biden,476
2020-03-10,NBC,Biden,684
2020-03-10,NewYorkTimes,Biden,0
2020-03-11,AP,Biden,654
2020-03-11,Buzzfeed,Biden,160
2020-03-11,Fox,Biden,259
2020-03-11,NBC,Biden,1305
2020-03-12,AP,Biden,606
2020-03-12,Breitbart,Biden,142
2020-03-12,Buzzfeed,Biden,190
2020-03-12,Fox,Biden,413
2020-03-12,NBC,Biden,423
2020-03-12,NewYorkTimes,Biden,63
2020-03-13,AP,Biden,174
2020-03-13,Breitbart,Biden,64
2020-03-13,Buzzfeed,Biden,80
2020-03-13,Fox,Biden,343
2020-03-13,NBC,Biden,342
2020-03-13,NewYorkTimes,Biden,343
2020-03-13,Politico,Biden,35
2020-03-13,WashingtonTimes,Biden,162
2020-03-14,AP,Biden,204
2020-03-14,Breitbart,Biden,64
2020-03-14,Buzzfeed,Biden,200
2020-03-14,Fox,Biden,378
2020-03-14,NBC,Biden,261
2020-03-14,NewYorkTimes,Biden,350
2020-03-14,Politico,Biden,707
